	logFC	logCPM	PValue
B0393.5	-2.24	1.27	0.362
B0393.6	0.429	8.01	0.423
B0393.9	-5.8	4.12	0.0302
B0395.3	1.33	6.62	0.294
B0410.3	-4.86	3.26	0.059
B0412.3	1.01	6.94	0.25
B0416.3	-0.998	1.75	0.635
B0416.4	-0.216	6.24	0.854
B0416.5	-0.555	8.4	0.261
B0432.1	-1.92	1.09	0.416
B0432.10	-0.576	6.61	0.568
B0432.13	-1.4	6.14	0.248
B0432.14	-2.48	3.95	0.189
B0432.6	-5.53	3.87	0.0158
B0432.8	0.653	6.58	0.542
B0432.9	-3.59	2.2	0.0938
B0454.6	-3.64	2.24	0.0955
B0454.9	0.431	4.21	0.83
B0464.2	0.87	8.05	0.0862
B0464.6	-0.186	8.59	0.677
B0464.9	2.13	6.93	0.0148
B0491.1	1.29	3.77	0.535
B0491.5	-0.361	7.52	0.57
B0491.6	0.61	6.23	0.693
B0491.7	-2.48	5.38	0.182
B0495.2	0.78	6.83	0.432
B0495.5	-2.15	5.98	0.111
B0495.6	0.0221	5.31	0.993
B0495.7	-0.561	5.65	0.755
B0495.8	0.468	7.23	0.516
B0495.9	1.42	7.17	0.0624
B0507.2	0.183	4.38	0.934
B0511.12	0.000462	7.46	1
B0511.13	-1.15	7.67	0.0565
B0511.2	-1.81	2.24	0.343
B0511.6	-0.161	7.44	0.837
B0511.7	0.00181	7.64	1
B0513.2	0.924	6.91	0.309
B0546.2	1.3	7.53	0.0344
B0546.3	-3.12	1.85	0.192
B0546.4	-0.262	5.27	0.867
B0564.11	-0.191	5.93	0.886
B0564.2	-3.3	4.02	0.114
B0564.7	0.556	7.04	0.5
baf-1	-1.09	7.71	0.0677
bag-1	-0.555	7.01	0.491
bam-2	1.44	2.71	0.512
bath-1	2.81	4.86	0.139
bath-15	-1.34	6.63	0.182
bath-2	-0.664	5.77	0.64
bath-21	4.23	1.88	0.0665
bath-22	-1.9	1.08	0.432
bath-27	-0.831	5.85	0.532
bath-28	-0.582	5.81	0.666
bath-29	-0.0859	5.89	0.951
bath-30	0.413	6.88	0.632
bath-34	-1.47	2.75	0.518
bath-36	-0.637	5.53	0.666
bath-38	1.04	5.97	0.429
bath-39	0.759	6.85	0.429
bath-4	-2.85	3.92	0.177
bath-40	0.399	7.05	0.636
bath-41	-0.256	8.28	0.591
bath-42	0.137	9.22	0.751
bath-43	0.575	8.35	0.276
bath-44	-0.604	7.83	0.3
bath-5	-0.862	6.95	0.302
bath-6	1.46	5.26	0.444
bath-9	-3.45	2.09	0.109
bca-1	-0.168	5.12	0.938
bca-2	-1.84	5.06	0.323
bcs-1	0.677	7.41	0.295
BE0003N10.1	-0.598	5.05	0.732
BE0003N10.3	-0.114	1.89	1
BE10.4	-0.388	3.26	0.847
bec-1	-1.05	5.51	0.5
bed-1	2.27	5.56	0.132
bed-2	-2.24	4.27	0.261
bed-3	3.61	3.27	0.13
ben-1	4.39	3.31	0.0378
bet-1	-2.86	2.54	0.193
bet-2	-0.442	7.39	0.6
bir-1	-0.963	6.69	0.31
bir-2	-0.544	6.8	0.58
bli-4	0.179	8.97	0.669
blmp-1	-3.85	2.41	0.118
bmk-1	2.06	6.45	0.0718
bmy-1	-0.364	6.88	0.687
bpl-1	2.34	3.68	0.276
bra-1	-2.08	4.72	0.228
bra-2	0.979	7.58	0.135
brc-1	-0.214	5.59	0.888
brc-2	0.22	7.19	0.767
brd-1	0.367	7.15	0.646
bre-3	2.48	6.43	0.0327
bre-4	-0.398	5.7	0.828
bre-5	-1.01	6.94	0.237
brf-1	0.982	8.16	0.0427
btb-19	-1.25	6.67	0.383
btb-20	-1.44	2.59	0.484
btb-3	-3.63	2.23	0.136
btb-4	-0.937	5.01	0.565
btb-5	-3.92	2.46	0.114
btb-6	-1.05	5.97	0.407
btb-7	2.52	2.1	0.276
btf-1	-1.84	5.39	0.255
bub-1	0.931	7.32	0.171
bub-3	0.927	8.13	0.0928
bus-19	-3.52	2.15	0.148
byn-1	-0.569	7.11	0.456
C01A2.3	-1.8	6.66	0.167
C01A2.4	-0.0447	6.31	0.971
C01A2.5	-0.236	8.59	0.583
C01B10.3	-4.9	3.3	0.057
C01B10.8	0.0931	7.95	0.863
C01B10.9	-0.179	8.01	0.757
C01B12.2	-1.77	5.96	0.293
C01B12.8	0.723	7	0.443
C01B12.9	-4.23	2.71	0.0517
C01F1.1	1.14	7.41	0.125
C01F1.4	-4.07	2.58	0.0862
C01F1.6	1.35	7.04	0.109
C01F6.2	-3.22	1.92	0.136
C01F6.9	-0.592	5.46	0.692
C01G10.10	1.81	6.8	0.0982
C01G10.7	0.0798	6.8	0.932
C01G10.8	-0.00384	8.5	0.994
C01G12.1	1.08	4.08	0.598
C01G12.3	1.81	3.95	0.381
C01G5.5	-0.0944	6.77	0.929
C01G5.6	-0.272	8.57	0.537
C01G5.9	-3.55	2.17	0.144
C01G6.3	-0.177	8.51	0.71
C01G6.4	-0.177	7.27	0.803
C01G6.5	0.38	8.72	0.373
C01G8.1	1.32	9.11	0.00375
C01G8.6	-0.143	5.8	0.916
C01H6.8	-3.12	1.84	0.179
C01H6.9	0.302	6.43	0.793
C02B10.2	-0.634	6.47	0.545
C02B10.4	-0.233	7.75	0.677
C02B10.5	3	4.61	0.172
C02B8.6	-2.29	5.68	0.119
C02C6.3	-0.633	4.43	0.767
C02D5.2	-6	4.3	0.00743
C02D5.4	-0.152	6.24	0.898
C02F12.8	-0.658	5.48	0.655
C02F5.12	0.999	6.31	0.407
C02F5.13	-1.45	6.51	0.19
C02F5.3	0.427	7.46	0.542
C02F5.6	0.212	7.49	0.746
C02F5.7	-3.18	4.44	0.161
C03A3.2	0.203	6.98	0.804
C03B1.7	0.609	3.95	0.726
C03C10.2	-1.92	1.87	0.401
C03C10.4	-0.598	6.85	0.507
C03H12.1	-0.373	5.43	0.81
C03H5.2	-1.12	7.07	0.228
C03H5.3	1.28	8.26	0.00676
C03H5.5	-6.63	4.9	0.00191
C04A11.1	4.04	1.68	0.0821
C04A11.2	-0.516	4.81	0.795
C04B4.2	0.412	8.83	0.373
C04C3.3	0.301	7.87	0.593
C04E6.11	-0.319	7.47	0.62
C04E6.7	-1.98	1.12	0.417
C04F12.1	0.822	7.95	0.147
C04F12.5	-2.08	4.33	0.247
C04F5.8	0.0536	6.17	0.966
C04F5.9	1.3	6.16	0.435
C04G6.4	-1.07	7.03	0.409
C05B5.4	7.11	4.48	0.00758
C05C10.2	-0.35	8.29	0.554
C05C10.3	0.07	7.7	0.907
C05C10.5	0.565	9.49	0.16
C05C10.7	0.044	6	0.975
C05C8.1	-0.283	6.7	0.766
C05C8.2	1.23	6.65	0.206
C05C8.5	-0.693	7.3	0.404
C05C8.6	2.14	8.34	8.36e-06
C05C8.7	-2.58	1.96	0.284
C05D10.1	0.132	6.5	0.902
C05D10.2	-6.01	4.32	0.0255
C05D11.1	-0.522	7.43	0.415
C05D11.10	-3.49	5.98	0.0117
C05D11.13	0.576	3.8	0.804
C05D11.5	0.193	3.29	0.946
C05D11.7	0.146	7.88	0.798
C05D11.9	0.424	7.96	0.45
C05D2.10	5.89	5.39	0.0124
C05D2.11	-1.85	2.52	0.344
C05D2.6	0.3	7.53	0.621
C05D9.7	0.331	6.2	0.779
C05E11.3	-1.76	6.21	0.166
C05G5.2	0.0568	4.19	0.983
C05G5.4	0.96	5.62	0.501
C06A1.4	1.88	7.94	0.00236
C06A1.8	2.06	2.56	0.261
C06A12.3	-0.676	1.18	0.789
C06A5.1	-4.2	3.25	0.0551
C06A5.12	1.34	2.05	0.529
C06A5.2	-1.9	1.68	0.385
C06A5.3	1.71	8.93	0.000351
C06A5.6	2.72	7.67	9.03e-06
C06A5.8	0.626	5.82	0.643
C06A6.2	0.676	6.24	0.561
C06A6.4	0.402	7.32	0.55
C06A6.5	0.8	4.69	0.652
C06A8.1	1.97	7.69	0.00273
C06A8.2	1.85	7.93	0.00227
