	logFC	logCPM	PValue
C37H5.13	0	6.85	1
C37H5.2	0	5.61	1
C37H5.3	0	7.68	1
C37H5.5	0	7.86	1
C37H5.6	0	7.53	1
C38C10.2	0	8.85	1
C38D4.1	0	4.77	1
C38D4.4	0	7.89	1
C38D4.9	0	3.3	1
C39B5.2	0	4.42	1
C39B5.6	0	4.96	1
C39E9.11	0	8.69	1
C39E9.12	0	7.32	1
C40H1.6	0	4.06	1
C41C4.1	0	4.68	1
C41D11.3	0	8.05	1
C41D11.5	0	7.71	1
C41D11.9	0	6.66	1
C41G7.3	0	7.88	1
C41G7.9	0	6.83	1
C41H7.3	0	6.83	1
C41H7.4	0	4.92	1
C41H7.6	0	6.51	1
C42C1.10	0	7.2	1
C42C1.11	0	7.57	1
C42C1.13	0	7.29	1
C42C1.4	0	6.82	1
C42C1.8	0	8.41	1
C43E11.12	0	6.23	1
C43E11.9	0	3.98	1
C43H6.3	0	5.9	1
C43H6.4	0	4.5	1
C43H6.7	0	7.7	1
C43H8.2	0	6.09	1
C44B7.1	0	4.94	1
C44B7.10	0	8.17	1
C44B7.11	0	6.05	1
C44B7.12	0	8.06	1
C44B7.2	0	6.49	1
C44B9.3	0	6.32	1
C44C1.2	0	4.94	1
C44C10.4	0	6.28	1
C44E4.1	0	8.04	1
C44E4.3	0	8.16	1
C44E4.4	0	8.14	1
C44E4.5	0	7.8	1
C44H4.4	0	5.93	1
C45B2.6	0	6.34	1
C45G3.5	0	7.34	1
C45G7.4	0	5.03	1
C45G9.2	0	8.06	1
C45G9.5	0	6.04	1
C45G9.7	0	4.82	1
C45H4.14	0	5.93	1
C46A5.5	0	6.12	1
C46A5.6	0	5.33	1
C46C11.1	0	7.39	1
C46C2.2	0	6.23	1
C46C2.7	0	4.81	1
C46F11.3	0	6.69	1
C46F11.4	0	7.43	1
C46F11.5	0	6.98	1
C46F11.6	0	3.68	1
C46H3.2	0	6.58	1
C47A4.1	0	3.8	1
C47B2.2	0	7.43	1
