	logFC	logCPM	PValue
C06H2.3	0	6.25	1
C06H2.6	0	6.89	1
C06H2.7	0	7.97	1
C07A12.7	0	4.51	1
C07A9.2	0	6.18	1
C07A9.9	0	5	1
C07D10.5	0	5.11	1
C07D8.6	0	8.66	1
C07E3.6	0	6.95	1
C07F11.2	0	2.73	1
C07H6.10	0	2.98	1
C07H6.2	0	5.06	1
C07H6.4	0	7.16	1
C08A9.6	0	5.86	1
C08B11.3	0	8.07	1
C08B11.6	0	7.78	1
C08B11.8	0	7.06	1
C08B11.9	0	4.87	1
C08B6.7	0	7.86	1
C08B6.8	0	7.37	1
C08C3.4	0	7.93	1
C08F8.2	0	7.67	1
C08F8.3	0	7.77	1
C08F8.9	0	3.63	1
C08H9.16	0	6.82	1
C08H9.2	0	9.69	1
C09B8.4	0	2.7	1
C09B8.5	0	6.94	1
C09D4.2	0	3.72	1
C09D4.4	0	7.84	1
C09E7.4	0	6.36	1
C09E7.7	0	3.09	1
C09E7.8	0	4.2	1
C09E9.1	0	5.39	1
C09F5.1	0	4.64	1
C09G4.2	0	3.43	1
C09G4.4	0	6.33	1
C09G9.1	0	7.38	1
C09G9.2	0	8.04	1
C09H10.10	0	6.03	1
C10B5.1	0	3.51	1
C10C5.1	0	4.69	1
C10C6.6	0	9.21	1
C10E2.6	0	6.49	1
C10G11.7	0	9.11	1
C10H11.8	0	4.27	1
C11D2.4	0	7.43	1
C11D2.7	0	4.23	1
C11H1.2	0	4.88	1
C11H1.3	0	6.41	1
C12D8.1	0	8.57	1
C13B4.1	0	7.09	1
C13B9.3	0	8.82	1
C13C4.4	0	5.06	1
C13F10.2	0	3.71	1
C13F10.4	0	7.37	1
C13F10.5	0	6.26	1
C13F10.6	0	7.72	1
C13F10.7	0	8.19	1
C13G5.2	0	7.38	1
C14A11.9	0	6.49	1
C14A4.11	0	7.62	1
C14A4.14	0	7.5	1
C14A4.3	0	8.61	1
C14B1.10	0	3.92	1
C14B1.12	0	4.41	1
C14B1.2	0	7.68	1
C14B1.3	0	5.57	1
C14B1.6	0	7.87	1
C14B1.7	0	6.25	1
C14B1.8	0	6.76	1
C14B1.9	0	8.69	1
C14B9.10	0	4.94	1
C14B9.2	0	3.85	1
C14B9.8	0	8.53	1
C14C10.2	0	4.46	1
C14C10.4	0	7.7	1
C14C10.5	0	8.71	1
C14C10.6	0	6.12	1
C14C11.2	0	6.67	1
C14C11.7	0	5.88	1
C14F11.1	0	8.47	1
C14H10.3	0	3.16	1
C15B12.6	0	6.6	1
C15C6.4	0	5.38	1
C15C7.5	0	5.71	1
C15C7.7	0	3.65	1
C15C8.4	0	7.97	1
C15C8.7	0	5.85	1
C15F1.2	0	3.27	1
C15F1.5	0	4.58	1
C15H11.8	0	6.95	1
C15H9.5	0	3.91	1
C16A11.10	0	5.71	1
C16A11.2	0	7.06	1
C16A11.4	0	6.84	1
C16A3.1	0	6.91	1
C16A3.10	0	7	1
C16A3.2	0	6.35	1
C16A3.4	0	7.32	1
C16A3.5	0	6.75	1
C16A3.6	0	4.79	1
C16C10.1	0	7.32	1
C16C10.2	0	7.3	1
C16C10.3	0	9.34	1
C16C10.4	0	7.5	1
C16C10.8	0	5.21	1
C16C2.4	0	8.46	1
C16C8.11	0	6.43	1
C16C8.12	0	3.58	1
C16C8.14	0	3.92	1
C16C8.16	0	5.45	1
C16C8.4	0	5.39	1
C16C8.5	0	4.22	1
C16D9.6	0	5.28	1
C16E9.2	0	7.57	1
C17C3.1	0	6.93	1
C17D12.1	0	5.18	1
C17D12.7	0	3.74	1
C17E4.10	0	8.22	1
C17E4.11	0	5.27	1
C17E4.3	0	8.84	1
C17E4.4	0	6.26	1
C17E4.6	0	7.79	1
C17E7.12	0	4.6	1
C17E7.4	0	7.31	1
C17E7.9	0	5.59	1
C17F4.2	0	2.9	1
C17F4.8	0	4.13	1
C17G10.1	0	7.65	1
C17G10.2	0	7.6	1
C17G10.9	0	7.98	1
C17H11.2	0	7.85	1
C17H11.6	0	6.31	1
C17H12.13	0	8.2	1
C17H12.2	0	5.75	1
C18A3.1	0	4.67	1
C18A3.2	0	5.58	1
C18A3.3	0	6.96	1
C18A3.4	0	4.48	1
C18B12.4	0	7.22	1
C18B12.6	0	6.5	1
C18B2.4	0	5.38	1
C18D11.3	0	6.86	1
C18E3.2	0	7.18	1
C18E3.3	0	7.37	1
C18E3.5	0	6.99	1
C18E3.9	0	7.91	1
C18E9.10	0	6.48	1
C18E9.2	0	9.61	1
C18E9.4	0	5.32	1
C18F10.7	0	8.06	1
C18H2.2	0	4.5	1
C23F12.4	0	6.51	1
C23G10.2	0	5.15	1
C23G10.7	0	9.26	1
C23G10.8	0	7.6	1
C23H3.3	0	6.35	1
C23H3.5	0	7.82	1
C23H4.6	0	3.55	1
C24A1.2	0	4.27	1
C24D10.4	0	6.78	1
C24D10.5	0	7	1
C24D10.6	0	6.48	1
C24F3.2	0	7.5	1
C24G6.8	0	7.33	1
C24H10.2	0	6.3	1
C24H12.4	0	6.84	1
C24H12.5	0	6.01	1
C25A1.1	0	7.56	1
C25A1.12	0	7.69	1
C25A1.13	0	6.6	1
C25A1.16	0	5.5	1
C25A1.4	0	7.93	1
C25A1.5	0	8.9	1
C25A11.2	0	7.59	1
C25D7.10	0	5.04	1
C25F6.1	0	4.61	1
C25G4.10	0	3.65	1
C25G4.3	0	5.97	1
C25G6.4	0	3.03	1
C25H3.14	0	3.53	1
C25H3.3	0	4.97	1
C25H3.4	0	7.61	1
C25H3.7	0	6.84	1
C25H3.8	0	5.93	1
C25H3.9	0	7.66	1
C26B2.7	0	6.93	1
C26B9.1	0	5.32	1
C26B9.3	0	3.43	1
C26B9.6	0	2.76	1
C26D10.3	0	4.87	1
C26E6.12	0	7.46	1
C26E6.3	0	6.87	1
C26E6.6	0	7.44	1
C26F1.3	0	6.57	1
C26H9A.2	0	3.3	1
C27A12.2	0	8.5	1
C27A12.6	0	7.82	1
C27A12.7	0	8.68	1
C27A12.9	0	4.34	1
C27A7.5	0	3.58	1
C27A7.6	0	5.26	1
C27B7.2	0	5.8	1
C27B7.5	0	7.91	1
C27C12.1	0	5.91	1
C27C12.3	0	7.69	1
C27C12.4	0	7.86	1
C27C7.1	0	6.73	1
C27D6.4	0	7.86	1
C27D8.3	0	2.86	1
C27D8.4	0	5.71	1
C27D9.1	0	8.18	1
C27F2.10	0	7.03	1
C27F2.4	0	7.26	1
C27F2.7	0	6.36	1
C27F2.8	0	9.38	1
C27F2.9	0	8.87	1
C27H6.3	0	8.65	1
C27H6.8	0	7.97	1
C27H6.9	0	5.75	1
C28A5.1	0	8.06	1
C28A5.2	0	6.39	1
C28C12.12	0	7.85	1
C28H8.1	0	6.66	1
C28H8.3	0	7.82	1
C28H8.4	0	7.38	1
C28H8.9	0	7.52	1
C29A12.1	0	7.04	1
C29E4.12	0	6.54	1
C29E4.13	0	7.1	1
C29E4.15	0	6.79	1
C29E4.9	0	3.36	1
C29F7.3	0	2.63	1
C29H12.2	0	8.14	1
C29H12.5	0	6.05	1
C30A5.3	0	8.07	1
C30B5.2	0	7.54	1
C30B5.4	0	8.06	1
C30C11.1	0	3.43	1
C30C11.4	0	9.14	1
C30F12.2	0	6.94	1
C30F12.4	0	9.68	1
C30G12.6	0	8.61	1
C30H6.7	0	6.89	1
C30H6.8	0	4.07	1
C30H6.9	0	4.62	1
C30H7.2	0	7.15	1
C31C9.2	0	5.02	1
C31E10.5	0	7.62	1
C31E10.6	0	6.75	1
C31G12.1	0	6.36	1
C31H1.8	0	9.25	1
C31H5.4	0	4.82	1
C31H5.5	0	4.39	1
C32A3.2	0	3.97	1
C32A3.3	0	8.6	1
C32D5.10	0	7.64	1
C32D5.11	0	8.2	1
C32D5.3	0	8.49	1
C32D5.7	0	5.3	1
C32D5.8	0	4.93	1
C32E8.11	0	8.07	1
C32E8.3	0	6.46	1
C32E8.5	0	8.19	1
C32F10.8	0	7.31	1
C33A11.2	0	4.65	1
C33A12.1	0	6.21	1
C33A12.12	0	5.18	1
C33A12.3	0	7	1
C33A12.7	0	6.15	1
C33B4.4	0	3	1
C33C12.10	0	5.07	1
C33C12.9	0	3	1
C33D9.3	0	4.71	1
C33F10.14	0	6.04	1
C33F10.4	0	6.82	1
C33G3.4	0	3.91	1
C33G3.6	0	4.86	1
C33H5.17	0	6.53	1
C33H5.18	0	7.6	1
C33H5.8	0	6.92	1
C34B2.10	0	5.7	1
C34B2.5	0	6.57	1
C34B2.6	0	6.44	1
C34B2.8	0	7.48	1
C34B4.2	0	6.75	1
C34B7.2	0	7.82	1
C34C12.2	0	7.6	1
C34C12.4	0	5.5	1
C34C12.5	0	6.01	1
C34C12.8	0	6.8	1
C34D10.1	0	5.93	1
C34D4.13	0	6.32	1
C34D4.4	0	8.24	1
C34E10.10	0	5.37	1
C34E10.11	0	5.77	1
C34E10.8	0	8.47	1
C34F11.3	0	5.96	1
C34F6.10	0	6.54	1
C34F6.9	0	2.92	1
C34G6.1	0	8.41	1
C34G6.5	0	7.18	1
C35A5.8	0	8.45	1
C35B1.2	0	6.88	1
C35B8.3	0	4.98	1
C35C5.3	0	4.71	1
C35C5.6	0	7.6	1
C35D10.1	0	7.82	1
C35D10.10	0	7.59	1
C35D10.13	0	6.83	1
C35D10.5	0	6.33	1
C35D10.6	0	6.24	1
C35D10.7	0	7.03	1
C35E7.5	0	5.96	1
C35E7.8	0	6.51	1
C36A4.4	0	7.57	1
C36A4.5	0	2.98	1
C36B1.11	0	9.28	1
C36B1.14	0	6.26	1
C36B7.6	0	6.86	1
C36C9.1	0	7.88	1
C36E6.1	0	7.5	1
C36E6.2	0	5.4	1
C36E8.1	0	8.37	1
C36F7.2	0	6.79	1
C37A2.8	0	8.67	1
C37A5.7	0	4.15	1
C37C3.1	0	6.85	1
C37C3.2	0	7.56	1
C37C3.9	0	9.16	1
C37E2.1	0	5.81	1
C37H5.13	0	5.99	1
C37H5.2	0	5.21	1
C37H5.3	0	6.46	1
C37H5.5	0	7.16	1
C37H5.6	0	7.52	1
C38C10.2	0	8.03	1
C38D4.1	0	3.69	1
C38D4.4	0	8.09	1
C38D4.9	0	3.43	1
C39B5.2	0	3.15	1
C39E9.11	0	8.62	1
C39E9.12	0	6.9	1
C40H1.6	0	3.81	1
C41D11.3	0	8.39	1
C41D11.5	0	7.45	1
C41D11.9	0	6.13	1
C41G7.3	0	8.59	1
C41G7.9	0	7.12	1
C41H7.3	0	5.79	1
C41H7.4	0	4.07	1
C41H7.5	0	2.94	1
C41H7.6	0	5.12	1
C42C1.10	0	7.55	1
C42C1.11	0	8.21	1
C42C1.12	0	4.42	1
C42C1.13	0	6.7	1
C42C1.4	0	7.18	1
C42C1.8	0	7.85	1
C43E11.12	0	6.35	1
C43E11.9	0	5.45	1
C43H6.3	0	5.45	1
C43H6.7	0	6.49	1
C43H8.1	0	3.17	1
C43H8.2	0	4.76	1
C44B7.1	0	5.2	1
C44B7.10	0	8.38	1
C44B7.11	0	6.29	1
C44B7.12	0	7.5	1
C44B7.2	0	5.74	1
C44B9.3	0	4.14	1
C44C1.2	0	6.42	1
C44C10.4	0	6.47	1
C44E4.1	0	7.21	1
C44E4.3	0	8.37	1
C44E4.4	0	8.2	1
C44E4.5	0	7.14	1
C44H4.4	0	5.44	1
C45B2.6	0	4.41	1
C45E1.5	0	4.03	1
C45G3.5	0	8.17	1
C45G7.4	0	5.08	1
C45G9.2	0	7.9	1
C45G9.5	0	7.78	1
C45G9.7	0	4.55	1
C45H4.14	0	6.04	1
C46A5.5	0	6.78	1
C46A5.6	0	6.22	1
C46C11.1	0	5.89	1
C46C11.2	0	3.76	1
C46C2.2	0	4.4	1
C46C2.7	0	4.68	1
C46F11.3	0	6.52	1
