	logFC	logCPM	PValue
B0250.5	-0.797	5.89	0.582
B0261.1	0.101	8.51	0.851
B0261.4	0.562	5.64	0.734
B0261.7	0.672	8.37	0.232
B0272.3	-0.0415	7.17	0.965
B0273.3	-0.796	3.25	0.712
B0280.9	0.477	7.36	0.552
B0281.5	-1.52	4.34	0.481
B0285.3	0.883	6.32	0.511
B0285.4	-0.139	7.13	0.878
B0303.14	-3.58	3.37	0.146
B0303.15	-0.402	5.94	0.782
B0303.3	-0.388	7.86	0.551
B0303.4	-0.309	8.56	0.551
B0303.7	0.974	5.87	0.62
B0304.2	0.489	6.66	0.664
B0304.4	-0.123	6.61	0.925
B0310.2	1.22	5.1	0.496
B0334.15	-1.36	3.47	0.542
B0334.3	1.27	6.83	0.222
B0334.4	0.488	8	0.436
B0334.5	2.22	7.3	0.0125
B0336.13	-0.168	6.68	0.884
B0336.3	-1.17	7.48	0.149
B0336.5	0.152	8.05	0.815
B0336.7	-0.446	5.73	0.815
B0361.2	-0.946	7.26	0.274
B0361.3	-0.267	8.18	0.695
B0361.6	0.263	7.7	0.716
B0361.8	0.336	8.6	0.515
B0361.9	1.41	6.7	0.228
B0365.1	-0.838	6.8	0.438
B0379.1	-3.74	2.34	0.137
B0391.8	-3.6	2.72	0.143
B0393.3	0.0847	9.49	0.861
B0393.6	-0.115	8.22	0.847
B0395.3	0.895	6.66	0.584
B0412.3	-0.344	7.46	0.669
B0416.4	-0.563	6.39	0.653
B0416.5	-0.359	8.21	0.561
B0432.10	0.476	6.04	0.741
B0432.13	-1.61	6.24	0.221
B0432.14	-0.663	2.71	0.774
B0432.6	-6.03	4.32	0.0142
B0432.8	2.15	6.14	0.152
B0454.9	-0.551	4.61	0.799
B0464.2	0.102	8.31	0.859
B0464.6	-0.216	8.53	0.688
B0464.9	0.552	7.32	0.504
B0491.1	5.09	3.27	0.0603
B0491.5	-0.172	7.35	0.836
B0491.6	-1.27	7.17	0.344
B0491.7	2.48	2.93	0.328
B0495.2	-1.2	7.8	0.16
B0495.5	-1.85	5.68	0.241
B0495.6	1.37	4.78	0.475
B0495.7	-2.89	7.3	0.0404
B0495.8	0.595	7.13	0.514
B0495.9	0.0668	7.62	0.931
B0507.2	-1.79	5.5	0.343
B0511.12	-0.443	7.63	0.554
B0511.13	-0.172	7	0.859
B0511.6	-0.237	7.39	0.795
B0511.7	0.656	7.3	0.446
B0513.2	0.914	6.87	0.393
B0546.2	0.7	7.67	0.318
B0546.4	-0.0914	5.12	0.963
B0564.11	-0.107	5.84	0.948
B0564.2	-2.81	3.53	0.206
B0564.7	0.245	7.12	0.789
baf-1	-0.0564	7.05	0.954
bag-1	0.117	6.59	0.923
bam-2	3	2.43	0.227
bath-1	1.52	5.08	0.419
bath-10	-3.38	2.07	0.171
bath-15	-0.816	6.23	0.538
bath-2	-0.612	5.66	0.704
bath-21	-0.175	2.82	0.959
bath-27	0.0996	5.28	0.958
bath-28	2.43	4.7	0.252
bath-29	0.48	5.58	0.761
bath-30	1.24	6.52	0.291
bath-36	0.985	4.72	0.597
bath-38	-1.51	7.25	0.1
bath-39	0.378	6.95	0.707
bath-4	-3.29	4.22	0.137
bath-40	-0.655	7.52	0.411
bath-41	-0.211	8.18	0.709
bath-42	0.0236	9.2	0.962
bath-43	0.37	8.35	0.512
bath-44	-0.326	7.59	0.66
bath-5	1.94	5.74	0.211
bath-6	1.23	5.27	0.463
bbs-5	-3.88	2.42	0.132
bca-1	-0.0252	4.95	0.996
bca-2	-1.92	5.03	0.344
bcmo-2	-4.97	3.34	0.0651
bcs-1	-0.112	7.7	0.87
BE0003N10.1	-0.841	5.18	0.658
BE10.4	0.971	2.7	0.654
bec-1	-1.39	5.65	0.405
bed-1	1.8	5.61	0.267
bed-2	-0.735	3.15	0.752
bed-3	-0.184	4.15	0.945
ben-1	-0.257	4.31	0.904
bet-1	-3.31	2.85	0.174
bet-2	0.65	6.77	0.603
bir-1	-0.731	6.49	0.547
bir-2	-0.154	6.5	0.904
bli-3	-4.37	4.32	0.0663
bli-4	-0.383	9.2	0.417
bmk-1	0.931	6.67	0.425
bmy-1	-0.0329	6.66	0.978
bpl-1	2.29	3.63	0.35
bra-1	-0.942	3.88	0.641
bra-2	0.292	7.8	0.693
brc-1	-0.642	5.74	0.698
brc-2	0.285	7.1	0.757
brd-1	-0.334	7.42	0.69
bre-3	0.897	6.77	0.426
bre-4	0.129	5.33	0.951
bre-5	-0.344	6.49	0.775
brf-1	0.0596	8.47	0.911
btb-19	0.388	5.64	0.839
btb-20	-0.238	1.93	0.956
btb-4	1.29	3.97	0.517
btb-6	-0.051	5.32	0.978
btb-7	0.0642	2.75	1
btf-1	-2.04	5.52	0.225
bub-1	-0.364	7.84	0.582
bub-3	0.289	8.34	0.651
bus-4	-3.96	2.49	0.125
byn-1	-0.203	6.84	0.844
C01A2.3	-1.31	6.19	0.41
C01A2.4	0.816	5.9	0.584
C01A2.5	-0.152	8.47	0.788
C01B10.8	0.156	7.87	0.816
C01B10.9	0.118	7.81	0.874
C01B12.2	0.0903	4.7	0.977
C01B12.8	0.16	7.2	0.878
C01B12.9	-4.58	3.02	0.0629
C01F1.1	-0.21	7.94	0.773
C01F1.4	-3.26	1.97	0.192
C01F1.6	1.11	7.04	0.249
C01F6.2	-2.67	1.58	0.282
C01F6.9	0.301	4.97	0.869
C01G10.10	0.814	7.02	0.396
C01G10.7	0.262	6.66	0.815
C01G10.8	0.0246	8.43	0.964
C01G12.1	0.103	4.38	0.963
C01G12.3	0.0515	4.54	0.989
C01G5.5	0.334	6.53	0.795
C01G5.6	0.295	8.22	0.593
C01G6.3	-0.237	8.49	0.67
C01G6.4	0.903	6.74	0.407
C01G6.5	0.0825	8.78	0.874
C01G8.1	0.534	9.33	0.304
C01G8.6	-0.83	6.14	0.537
C01H6.3	-5.67	3.98	0.0373
C01H6.9	-1.13	7.15	0.277
C02B10.2	0.187	5.97	0.898
C02B10.4	-0.242	7.69	0.726
C02B10.5	0.17	5.26	0.94
C02B8.6	-2	5.4	0.235
C02C6.3	0.403	3.83	0.856
C02D5.2	-4.3	2.77	0.1
C02D5.4	-0.298	6.25	0.818
C02F12.8	-1.48	5.97	0.301
C02F5.12	-0.318	6.85	0.767
C02F5.13	-1.19	6.29	0.385
C02F5.3	0.615	7.34	0.477
C02F5.6	-0.512	7.79	0.455
C02F5.7	-2.2	3.56	0.368
C03A3.2	-1.13	7.68	0.106
C03B1.7	-0.333	4.33	0.861
C03B8.3	-2.56	1.51	0.299
C03C10.4	-0.654	6.84	0.537
C03H12.1	-0.0851	5.2	0.969
C03H5.2	0.373	6.14	0.831
C03H5.3	-0.101	8.75	0.857
C04A11.1	3.25	1.8	0.214
C04A11.2	-0.416	4.66	0.868
C04B4.2	0.593	8.68	0.297
C04C3.3	0.404	7.77	0.554
C04E6.11	0.201	7.14	0.851
C04F12.1	0.887	7.88	0.278
C04F12.5	0.23	2.89	0.94
C04F5.8	0.477	5.92	0.749
C04F5.9	0.456	6.35	0.792
C04G6.4	-1.45	7.19	0.277
C05B5.4	6.39	4.49	0.0237
C05C10.2	-0.0331	8.03	0.965
C05C10.3	-0.0656	7.69	0.928
C05C10.5	0.0451	9.66	0.926
C05C10.7	1.41	5.45	0.398
C05C8.1	0.112	6.45	0.93
C05C8.2	0.691	6.78	0.517
C05C8.5	-1.23	7.56	0.16
C05C8.6	1.4	8.44	0.0111
C05D10.1	0.108	6.46	0.931
C05D10.4	-3.88	2.42	0.131
C05D11.1	-0.778	7.52	0.296
C05D11.10	-1.91	4.59	0.318
C05D11.13	-0.985	4.53	0.66
C05D11.5	4.17	2.48	0.12
C05D11.7	-0.407	8.09	0.508
C05D11.8	-5.96	4.25	0.0187
C05D11.9	0.228	8	0.718
C05D2.10	-0.262	6.4	0.873
C05D2.11	-1.92	2.58	0.412
C05D2.6	0.381	7.43	0.662
C05D9.7	0.75	5.98	0.596
C05E11.3	-0.649	5.42	0.703
C05G5.2	-1.86	5.31	0.351
C05G5.4	-0.663	6.33	0.594
C06A1.4	-0.0041	8.52	0.996
C06A1.8	-0.0422	3.2	1
C06A5.1	-3.28	2.46	0.177
C06A5.12	1.22	2.1	0.645
C06A5.2	-3.61	2.95	0.145
C06A5.3	0.905	9.1	0.0617
C06A5.6	0.758	8.07	0.215
C06A5.8	0.2	5.93	0.892
C06A6.2	0.149	6.39	0.917
C06A6.4	-0.137	7.52	0.854
C06A6.5	0.598	4.74	0.754
C06A8.1	-0.349	8.46	0.574
C06A8.2	-0.215	8.62	0.697
C06A8.3	-2.54	5.4	0.226
C06B3.6	-1.61	2.8	0.463
C06B8.7	-2.45	2.08	0.306
C06E1.1	-1.27	4.01	0.51
C06E1.9	0.368	6.74	0.75
C06E2.5	-0.431	4.07	0.849
C06E7.2	-2.46	1.48	0.313
C06E7.4	1.02	5.58	0.661
C06G3.5	-0.0915	4.82	0.972
C06G3.6	-1.19	6.67	0.293
C06G3.8	-0.0834	5.57	0.959
C06G3.9	1.07	4.79	0.586
C06G4.1	-0.0171	8.41	0.977
C06H2.2	1.56	6.51	0.206
C06H2.3	-0.267	6.44	0.835
C06H2.6	0.322	6.8	0.764
C06H2.7	-0.177	8.11	0.76
C07A12.7	1.54	4.05	0.431
C07A9.2	-0.15	6.32	0.909
C07A9.9	0.621	4.75	0.797
C07D10.5	0.466	5.01	0.82
C07D8.6	1.05	8.28	0.0637
C07E3.3	-2.77	1.64	0.266
C07E3.6	0.96	6.6	0.401
C07F11.2	3.72	2.16	0.151
C07H6.10	0.532	2.84	0.818
C07H6.2	-0.142	5.21	0.937
C07H6.4	-0.917	7.72	0.273
C08A9.6	0.643	5.6	0.7
C08B11.3	-0.214	8.19	0.782
C08B11.6	-0.0173	7.84	0.981
C08B11.8	-0.294	7.24	0.756
C08B11.9	0.189	4.82	0.922
C08B6.7	-0.78	8.34	0.186
C08B6.8	0.651	7.15	0.48
C08C3.4	0.329	7.83	0.618
C08F8.2	0.124	7.66	0.861
C08F8.3	0.362	7.64	0.61
C08F8.9	3.11	3	0.187
C08G9.2	-5.57	3.88	0.0436
C08H9.16	1.09	6.43	0.407
C08H9.2	0.209	9.62	0.706
C08H9.3	-3.56	4.69	0.158
C09B7.2	-1.69	4.26	0.381
C09B8.4	-0.838	3.22	0.718
C09B8.5	0.611	6.74	0.576
C09D4.1	-3.52	2.15	0.166
C09D4.2	1.61	3.21	0.504
C09D4.4	0.287	7.73	0.717
C09E7.4	0.327	6.28	0.802
C09E7.6	-2.62	1.57	0.273
C09E7.7	1.27	2.72	0.556
C09E7.8	-0.554	4.52	0.799
C09E8.1	-4.58	5.25	0.0478
C09E9.1	0.972	5.09	0.589
C09F5.1	-2.28	6.19	0.174
C09G1.4	-2.8	2.11	0.238
C09G4.2	4.35	2.63	0.107
C09G4.4	0.0248	6.37	0.986
C09G9.1	-0.188	7.53	0.802
C09G9.2	-0.139	8.17	0.811
C09H10.10	0.914	5.73	0.555
C10B5.1	1.8	2.97	0.457
C10C5.1	-1.86	5.92	0.22
C10C6.6	-0.262	9.38	0.622
C10C6.7	2.74	1.84	0.289
C10E2.6	-1.08	7.19	0.238
C10F3.4	-3.6	3.64	0.104
C10G11.7	0.376	8.99	0.438
C10H11.8	1.37	3.9	0.56
C11D2.4	0.0822	7.43	0.918
C11D2.7	-0.397	4.49	0.841
C11H1.2	1.43	4.38	0.549
C11H1.3	-0.815	6.89	0.469
C11H1.7	-4.75	3.15	0.0454
C12D8.1	1.14	8.16	0.0469
C13B4.1	-0.0568	7.14	0.967
C13B9.2	-3.51	2.17	0.159
C13B9.3	0.409	8.68	0.403
C13C4.4	-0.646	5.46	0.701
C13C4.5	-2.81	2.47	0.271
C13F10.2	-0.0194	3.83	1
C13F10.4	-0.584	7.73	0.409
C13F10.5	0.792	6	0.59
C13F10.6	-0.172	7.86	0.793
C13F10.7	0.255	8.13	0.693
C13G5.2	0.119	7.38	0.883
C14A11.9	0.71	6.26	0.593
C14A4.11	-0.0581	7.7	0.934
C14A4.14	1.77	6.93	0.11
C14A4.3	1.11	8.2	0.0625
C14B1.10	-0.204	4.1	0.919
C14B1.12	-0.929	4.97	0.614
C14B1.2	0.535	7.51	0.498
C14B1.3	-1.45	6.51	0.224
C14B1.6	1.12	7.45	0.181
C14B1.7	1.75	5.68	0.31
C14B1.8	-0.218	6.95	0.841
C14B1.9	0.278	8.6	0.575
C14B9.10	0.451	4.83	0.805
C14B9.2	-3.43	6.4	0.014
C14B9.8	2.35	7.84	0.0201
C14C10.2	2.37	3.78	0.336
C14C10.4	1.23	7.27	0.188
C14C10.5	-0.294	8.89	0.592
C14C10.6	0.0685	6.18	0.965
C14C11.2	0.363	6.54	0.764
C14C11.7	1.46	5.42	0.388
C14F11.1	-0.0634	8.54	0.906
C14F11.2	-4.19	2.68	0.0795
C14H10.3	-0.0136	3.23	1
C15B12.6	0.149	6.58	0.901
